symbol,side,order_type,time_in_force,original_quantity,price,average_price,order_status,order_last_filled_quantity,order_filled_accumulated_quantity,order_trade_time,usd_size
1MBABYDOGE,SELL,LIMIT,IOC,20571,0.0015215,0.0015361,FILLED,20571,20571,1739159751099,31.298776500000002
DYM,SELL,LIMIT,IOC,207.7,0.535203,0.543100,FILLED,207.7,207.7,1739159751319,111.16166309999998
TST,BUY,LIMIT,IOC,615,0.1954797,0.1939000,FILLED,615,615,1739159756102,120.2200155
TST,BUY,LIMIT,IOC,227,0.1956184,0.1937000,FILLED,227,227,1739159758127,44.4053768
TAO,SELL,LIMIT,IOC,2.758,357.23,360.69,FILLED,0.238,2.758,1739159761611,985.2403400000001
TST,BUY,LIMIT,IOC,8474,0.1957757,0.1939850,FILLED,2378,8474,1739159766168,1659.0032818
TST,BUY,LIMIT,IOC,382,0.1959273,0.1943000,FILLED,382,382,1739159769068,74.8442286
TST,BUY,LIMIT,IOC,3365,0.1960878,0.1943000,FILLED,3365,3365,1739159770095,659.835447
TST,BUY,LIMIT,IOC,55,0.1962393,0.1944000,FILLED,55,55,1739159775299,10.7931615
BERA,BUY,LIMIT,IOC,57.0,5.028970,4.977000,FILLED,20.4,57.0,1739159775555,286.65129
VVV,SELL,LIMIT,IOC,15.00,7.050632,7.191926,FILLED,1.10,15.00,1739159775691,105.75948
TST,BUY,LIMIT,IOC,642,0.1962607,0.1944000,FILLED,642,642,1739159776616,125.9993694
ACT,SELL,LIMIT,IOC,3977,0.1790637,0.1808044,FILLED,2517,3977,1739159777687,712.1363349
WLD,SELL,LIMIT,IOC,3044,1.2044100,1.2111780,FILLED,856,3044,1739159779535,3666.22404
BERA,BUY,LIMIT,IOC,53.3,5.030270,4.983000,FILLED,53.3,53.3,1739159781556,268.113391
BERA,BUY,LIMIT,IOC,4.5,5.033781,4.984000,FILLED,4.5,4.5,1739159785248,22.6520145
BERA,BUY,LIMIT,IOC,502.0,5.034475,4.989929,FILLED,1.7,502.0,1739159794573,2527.3064499999996
TST,BUY,LIMIT,IOC,1500,0.1963173,0.1944000,FILLED,1427,1500,1739159802084,294.47595
BERA,BUY,LIMIT,IOC,106.6,5.039884,4.991961,FILLED,74.5,106.6,1739159802406,537.2516344
TST,SELL,LIMIT,IOC,615,0.1909225,0.1925000,FILLED,615,615,1739159833530,117.4173375
SUI,BUY,LIMIT,IOC,780.6,3.111096,3.081600,FILLED,92.0,780.6,1739159838449,2428.5215376
SUI,BUY,LIMIT,IOC,60.9,3.111845,3.081400,FILLED,60.9,60.9,1739159839543,189.5113605
BAN,SELL,LIMIT,IOC,810,0.0595622,0.0600000,FILLED,810,810,1739159855293,48.245382
